country,code,year,gdp
Australia,AUS,"Sun, 01 Jan 1820 11:00:00 PM",826
Australia,AUS,"Sun, 01 Jan 1821 11:00:00 PM",834
Australia,AUS,"Sun, 01 Jan 1822 11:00:00 PM",858
Australia,AUS,"Sun, 01 Jan 1823 11:00:00 PM",886
Australia,AUS,"Sun, 01 Jan 1824 11:00:00 PM",936
Australia,AUS,"Sun, 01 Jan 1825 11:00:00 PM",982
Australia,AUS,"Sun, 01 Jan 1826 11:00:00 PM",999
Australia,AUS,"Sun, 01 Jan 1827 11:00:00 PM",1030
Australia,AUS,"Sun, 01 Jan 1828 11:00:00 PM",1057
Australia,AUS,"Sun, 01 Jan 1829 11:00:00 PM",1114
Australia,AUS,"Sun, 01 Jan 1830 11:00:00 PM",1352
Australia,AUS,"Sun, 01 Jan 1831 11:00:00 PM",1398
Australia,AUS,"Sun, 01 Jan 1832 11:00:00 PM",1428
Australia,AUS,"Sun, 01 Jan 1833 11:00:00 PM",1435
Australia,AUS,"Sun, 01 Jan 1834 11:00:00 PM",1508
Australia,AUS,"Sun, 01 Jan 1835 11:00:00 PM",1825
Australia,AUS,"Sun, 01 Jan 1836 11:00:00 PM",1793
Australia,AUS,"Sun, 01 Jan 1837 11:00:00 PM",1881
Australia,AUS,"Sun, 01 Jan 1838 11:00:00 PM",1857
Australia,AUS,"Sun, 01 Jan 1839 11:00:00 PM",1733
Australia,AUS,"Sun, 01 Jan 1840 11:00:00 PM",2190
Australia,AUS,"Sun, 01 Jan 1841 11:00:00 PM",1868
Australia,AUS,"Sun, 01 Jan 1842 11:00:00 PM",1704
Australia,AUS,"Sun, 01 Jan 1843 11:00:00 PM",1975
Australia,AUS,"Sun, 01 Jan 1844 11:00:00 PM",2246
Australia,AUS,"Sun, 01 Jan 1845 11:00:00 PM",2310
Australia,AUS,"Sun, 01 Jan 1846 11:00:00 PM",2554
Australia,AUS,"Sun, 01 Jan 1847 11:00:00 PM",2954
Australia,AUS,"Sun, 01 Jan 1848 11:00:00 PM",3381
Australia,AUS,"Sun, 01 Jan 1849 11:00:00 PM",3339
Australia,AUS,"Sun, 01 Jan 1850 11:00:00 PM",3148
Australia,AUS,"Sun, 01 Jan 1851 11:00:00 PM",3736
Australia,AUS,"Sun, 01 Jan 1852 11:00:00 PM",4382
Australia,AUS,"Sun, 01 Jan 1853 11:00:00 PM",4798
Australia,AUS,"Sun, 01 Jan 1854 11:00:00 PM",4202
Australia,AUS,"Sun, 01 Jan 1855 11:00:00 PM",3988
Australia,AUS,"Sun, 01 Jan 1856 11:00:00 PM",4866
Australia,AUS,"Sun, 01 Jan 1857 11:00:00 PM",4294
Australia,AUS,"Sun, 01 Jan 1858 11:00:00 PM",3661
Australia,AUS,"Sun, 01 Jan 1859 11:00:00 PM",4728
Australia,AUS,"Sun, 01 Jan 1860 11:00:00 PM",4613
Australia,AUS,"Sun, 01 Jan 1861 11:00:00 PM",4544
Australia,AUS,"Sun, 01 Jan 1862 11:00:00 PM",4368
Australia,AUS,"Sun, 01 Jan 1863 11:00:00 PM",4352
Australia,AUS,"Sun, 01 Jan 1864 11:00:00 PM",4616
Australia,AUS,"Sun, 01 Jan 1865 11:00:00 PM",4403
Australia,AUS,"Sun, 01 Jan 1866 11:00:00 PM",4532
Australia,AUS,"Sun, 01 Jan 1867 11:00:00 PM",4956
Australia,AUS,"Sun, 01 Jan 1868 11:00:00 PM",5031
Australia,AUS,"Sun, 01 Jan 1869 11:00:00 PM",4932
Australia,AUS,"Sun, 01 Jan 1870 11:00:00 PM",5217
Australia,AUS,"Sun, 01 Jan 1871 11:00:00 PM",5259
Australia,AUS,"Sun, 01 Jan 1872 11:00:00 PM",5663
Australia,AUS,"Sun, 01 Jan 1873 11:00:00 PM",6095
Australia,AUS,"Sun, 01 Jan 1874 11:00:00 PM",6113
Australia,AUS,"Sun, 01 Jan 1875 11:00:00 PM",6596
Australia,AUS,"Sun, 01 Jan 1876 11:00:00 PM",6387
Australia,AUS,"Sun, 01 Jan 1877 11:00:00 PM",6433
Australia,AUS,"Sun, 01 Jan 1878 11:00:00 PM",6817
Australia,AUS,"Sun, 01 Jan 1879 11:00:00 PM",6703
Australia,AUS,"Sun, 01 Jan 1880 11:00:00 PM",6830
Australia,AUS,"Sun, 01 Jan 1881 11:00:00 PM",7101
Australia,AUS,"Sun, 01 Jan 1882 11:00:00 PM",6476
Australia,AUS,"Sun, 01 Jan 1883 11:00:00 PM",7133
Australia,AUS,"Sun, 01 Jan 1884 11:00:00 PM",6861
Australia,AUS,"Sun, 01 Jan 1885 11:00:00 PM",7049
Australia,AUS,"Sun, 01 Jan 1886 11:00:00 PM",6900
Australia,AUS,"Sun, 01 Jan 1887 11:00:00 PM",7383
Australia,AUS,"Sun, 01 Jan 1888 11:00:00 PM",7179
Australia,AUS,"Sun, 01 Jan 1889 11:00:00 PM",7567
Australia,AUS,"Sun, 01 Jan 1890 11:00:00 PM",7106
Australia,AUS,"Sun, 01 Jan 1891 11:00:00 PM",7438
Australia,AUS,"Sun, 01 Jan 1892 11:00:00 PM",6368
Australia,AUS,"Sun, 01 Jan 1893 11:00:00 PM",5910
Australia,AUS,"Sun, 01 Jan 1894 11:00:00 PM",6003
Australia,AUS,"Sun, 01 Jan 1895 11:00:00 PM",5558
Australia,AUS,"Sun, 01 Jan 1896 11:00:00 PM",5874
Australia,AUS,"Sun, 01 Jan 1897 11:00:00 PM",5451
Australia,AUS,"Sun, 01 Jan 1898 11:00:00 PM",6202
Australia,AUS,"Sun, 01 Jan 1899 11:00:00 PM",6121
Australia,AUS,"Sun, 01 Jan 1900 11:00:00 PM",6397
Australia,AUS,"Sun, 01 Jan 1901 11:00:00 PM",6119
Australia,AUS,"Sun, 01 Jan 1902 11:00:00 PM",6094
Australia,AUS,"Sun, 01 Jan 1903 11:00:00 PM",6497
Australia,AUS,"Sun, 01 Jan 1904 11:00:00 PM",6846
Australia,AUS,"Sun, 01 Jan 1905 11:00:00 PM",6825
Australia,AUS,"Sun, 01 Jan 1906 11:00:00 PM",7184
Australia,AUS,"Sun, 01 Jan 1907 11:00:00 PM",7358
Australia,AUS,"Sun, 01 Jan 1908 11:00:00 PM",7481
Australia,AUS,"Sun, 01 Jan 1909 11:00:00 PM",7940
Australia,AUS,"Sun, 01 Jan 1910 11:00:00 PM",8305
Australia,AUS,"Sun, 01 Jan 1911 11:00:00 PM",8136
Australia,AUS,"Sun, 01 Jan 1912 11:00:00 PM",8126
Australia,AUS,"Sun, 01 Jan 1913 11:00:00 PM",8220
Australia,AUS,"Sun, 01 Jan 1914 11:00:00 PM",8013
Australia,AUS,"Sun, 01 Jan 1915 11:00:00 PM",7806
Australia,AUS,"Sun, 01 Jan 1916 11:00:00 PM",7775
Australia,AUS,"Sun, 01 Jan 1917 11:00:00 PM",7637
Australia,AUS,"Sun, 01 Jan 1918 11:00:00 PM",7336
Australia,AUS,"Sun, 01 Jan 1919 11:00:00 PM",7517
Australia,AUS,"Sun, 01 Jan 1920 11:00:00 PM",7597
Australia,AUS,"Sun, 01 Jan 1921 11:00:00 PM",7828
Australia,AUS,"Sun, 01 Jan 1922 11:00:00 PM",8072
Australia,AUS,"Sun, 01 Jan 1923 11:00:00 PM",8276
Australia,AUS,"Sun, 01 Jan 1924 11:00:00 PM",8635
Australia,AUS,"Sun, 01 Jan 1925 11:00:00 PM",8851
Australia,AUS,"Sun, 01 Jan 1926 11:00:00 PM",8883
Australia,AUS,"Sun, 01 Jan 1927 11:00:00 PM",8837
Australia,AUS,"Sun, 01 Jan 1928 11:00:00 PM",8690
Australia,AUS,"Sun, 01 Jan 1929 11:00:00 PM",8389
Australia,AUS,"Sun, 01 Jan 1930 11:00:00 PM",7504
Australia,AUS,"Sun, 01 Jan 1931 11:00:00 PM",6940
Australia,AUS,"Sun, 01 Jan 1932 11:00:00 PM",7275
Australia,AUS,"Sun, 01 Jan 1933 11:00:00 PM",7718
Australia,AUS,"Sun, 01 Jan 1934 11:00:00 PM",8066
Australia,AUS,"Sun, 01 Jan 1935 11:00:00 PM",8477
