month,payout
"Sun, 01 Mar 2019 11:00:00 PM",12046476
"Sun, 01 Apr 2019 11:00:00 PM",12062672
"Sun, 01 May 2019 11:00:00 PM",12195120
"Sun, 01 Jun 2019 11:00:00 PM",12167369
"Sun, 01 Jul 2019 11:00:00 PM",12254545
"Sun, 01 Aug 2019 11:00:00 PM",12332599
"Sun, 01 Sep 2019 11:00:00 PM",10340360
"Sun, 01 Oct 2019 11:00:00 PM",11029457
"Sun, 01 Nov 2019 11:00:00 PM",11064461
"Sun, 01 Dec 2019 11:00:00 PM",12602412
"Sun, 01 Jan 2020 11:00:00 PM",12768989
"Sun, 01 Feb 2020 11:00:00 PM",12909895
"Sun, 01 Mar 2020 11:00:00 PM",14993872
"Sun, 01 Apr 2020 11:00:00 PM",16822824
"Sun, 01 May 2020 11:00:00 PM",17749439
"Sun, 01 Jun 2020 11:00:00 PM",18461890
"Sun, 01 Jul 2020 11:00:00 PM",18563557
"Sun, 01 Aug 2020 11:00:00 PM",18926420
"Sun, 01 Sep 2020 11:00:00 PM",19193539
"Sun, 01 Oct 2020 11:00:00 PM",19488142
"Sun, 01 Nov 2020 11:00:00 PM",19901984
"Sun, 01 Dec 2020 11:00:00 PM",20523111
"Sun, 01 Jan 2021 11:00:00 PM",21206289
"Sun, 01 Feb 2021 11:00:00 PM",21741316
"Sun, 01 Mar 2021 11:00:00 PM",22363691
