country,code,year,since_1800
Belgium,BEL,"Sun, 01 Jan 1846 11:00:00 PM",681000
Belgium,BEL,"Sun, 01 Jan 1856 11:00:00 PM",712000
Belgium,BEL,"Sun, 01 Jan 1866 11:00:00 PM",705000
Belgium,BEL,"Sun, 01 Jan 1880 11:00:00 PM",674000
Belgium,BEL,"Sun, 01 Jan 1890 11:00:00 PM",640000
Belgium,BEL,"Sun, 01 Jan 1900 11:00:00 PM",616000
Belgium,BEL,"Sun, 01 Jan 1910 11:00:00 PM",585000
Belgium,BEL,"Sun, 01 Jan 1920 11:00:00 PM",525000
Belgium,BEL,"Sun, 01 Jan 1930 11:00:00 PM",505000
Belgium,BEL,"Sun, 01 Jan 1947 11:00:00 PM",364000
Belgium,BEL,"Sun, 01 Jan 1961 11:00:00 PM",213000
Belgium,BEL,"Sun, 01 Jan 1970 11:00:00 PM",197477.8225
Belgium,BEL,"Sun, 01 Jan 1971 11:00:00 PM",184101.572
Belgium,BEL,"Sun, 01 Jan 1972 11:00:00 PM",172728.0139
Belgium,BEL,"Sun, 01 Jan 1973 11:00:00 PM",165111.1874
Belgium,BEL,"Sun, 01 Jan 1974 11:00:00 PM",160353.8201
Belgium,BEL,"Sun, 01 Jan 1975 11:00:00 PM",155935.2554
Belgium,BEL,"Sun, 01 Jan 1976 11:00:00 PM",147979.635
Belgium,BEL,"Sun, 01 Jan 1977 11:00:00 PM",141885.2497
Belgium,BEL,"Sun, 01 Jan 1978 11:00:00 PM",138862.5693
Belgium,BEL,"Sun, 01 Jan 1979 11:00:00 PM",138367.4551
Belgium,BEL,"Sun, 01 Jan 1980 11:00:00 PM",132237.6211
Belgium,BEL,"Sun, 01 Jan 1981 11:00:00 PM",129056.875
Belgium,BEL,"Sun, 01 Jan 1982 11:00:00 PM",127686.875
Belgium,BEL,"Sun, 01 Jan 1983 11:00:00 PM",127287.875
Belgium,BEL,"Sun, 01 Jan 1984 11:00:00 PM",127051
Belgium,BEL,"Sun, 01 Jan 1985 11:00:00 PM",126152.375
Belgium,BEL,"Sun, 01 Jan 1986 11:00:00 PM",124604.5
Belgium,BEL,"Sun, 01 Jan 1987 11:00:00 PM",122167.625
Belgium,BEL,"Sun, 01 Jan 1988 11:00:00 PM",120207.875
Belgium,BEL,"Sun, 01 Jan 1989 11:00:00 PM",119377
Belgium,BEL,"Sun, 01 Jan 1990 11:00:00 PM",118489.75
Belgium,BEL,"Sun, 01 Jan 1991 11:00:00 PM",117296.25
Belgium,BEL,"Sun, 01 Jan 1992 11:00:00 PM",114539.125
Belgium,BEL,"Sun, 01 Jan 1993 11:00:00 PM",112992.625
Belgium,BEL,"Sun, 01 Jan 1994 11:00:00 PM",110751.125
Belgium,BEL,"Sun, 01 Jan 1995 11:00:00 PM",108951.875
Belgium,BEL,"Sun, 01 Jan 1996 11:00:00 PM",104785.5
Belgium,BEL,"Sun, 01 Jan 1997 11:00:00 PM",102043.75
Belgium,BEL,"Sun, 01 Jan 1998 11:00:00 PM",100278.125
Belgium,BEL,"Sun, 01 Jan 1999 11:00:00 PM",98864.75
Belgium,BEL,"Sun, 01 Jan 2000 11:00:00 PM",94837.625
Belgium,BEL,"Sun, 01 Jan 2001 11:00:00 PM",91850.875
Belgium,BEL,"Sun, 01 Jan 2002 11:00:00 PM",89107.25
Belgium,BEL,"Sun, 01 Jan 2003 11:00:00 PM",86255.25
Belgium,BEL,"Sun, 01 Jan 2004 11:00:00 PM",85034.75
Belgium,BEL,"Sun, 01 Jan 2005 11:00:00 PM",84544.75
Belgium,BEL,"Sun, 01 Jan 2006 11:00:00 PM",84147.625
Belgium,BEL,"Sun, 01 Jan 2007 11:00:00 PM",82858.625
Finland,FIN,"Sun, 01 Jan 1805 11:00:00 PM",702000
Finland,FIN,"Sun, 01 Jan 1880 11:00:00 PM",358000
Finland,FIN,"Sun, 01 Jan 1900 11:00:00 PM",429000
Finland,FIN,"Sun, 01 Jan 1910 11:00:00 PM",897000
Finland,FIN,"Sun, 01 Jan 1920 11:00:00 PM",1032000
Finland,FIN,"Sun, 01 Jan 1930 11:00:00 PM",1107000
Finland,FIN,"Sun, 01 Jan 1940 11:00:00 PM",1158000
Finland,FIN,"Sun, 01 Jan 1950 11:00:00 PM",912000
Finland,FIN,"Sun, 01 Jan 1960 11:00:00 PM",721000
Finland,FIN,"Sun, 01 Jan 1970 11:00:00 PM",471500
Finland,FIN,"Sun, 01 Jan 1971 11:00:00 PM",444900
Finland,FIN,"Sun, 01 Jan 1972 11:00:00 PM",419200
Finland,FIN,"Sun, 01 Jan 1973 11:00:00 PM",394300
Finland,FIN,"Sun, 01 Jan 1974 11:00:00 PM",369900
Finland,FIN,"Sun, 01 Jan 1975 11:00:00 PM",348300
Finland,FIN,"Sun, 01 Jan 1976 11:00:00 PM",336900
Finland,FIN,"Sun, 01 Jan 1977 11:00:00 PM",316500
Finland,FIN,"Sun, 01 Jan 1978 11:00:00 PM",304000
Finland,FIN,"Sun, 01 Jan 1979 11:00:00 PM",306100
Finland,FIN,"Sun, 01 Jan 1980 11:00:00 PM",308600
Finland,FIN,"Sun, 01 Jan 1981 11:00:00 PM",305800
Finland,FIN,"Sun, 01 Jan 1982 11:00:00 PM",310500
Finland,FIN,"Sun, 01 Jan 1983 11:00:00 PM",300500
Finland,FIN,"Sun, 01 Jan 1984 11:00:00 PM",298000
Finland,FIN,"Sun, 01 Jan 1985 11:00:00 PM",281900
Finland,FIN,"Sun, 01 Jan 1986 11:00:00 PM",267800
Finland,FIN,"Sun, 01 Jan 1987 11:00:00 PM",254800
Finland,FIN,"Sun, 01 Jan 1988 11:00:00 PM",243700
Finland,FIN,"Sun, 01 Jan 1989 11:00:00 PM",223700
Finland,FIN,"Sun, 01 Jan 1990 11:00:00 PM",213200
Finland,FIN,"Sun, 01 Jan 1991 11:00:00 PM",202500
Finland,FIN,"Sun, 01 Jan 1992 11:00:00 PM",188000
Finland,FIN,"Sun, 01 Jan 1993 11:00:00 PM",174800
Finland,FIN,"Sun, 01 Jan 1994 11:00:00 PM",170600
Finland,FIN,"Sun, 01 Jan 1995 11:00:00 PM",161400
Finland,FIN,"Sun, 01 Jan 1996 11:00:00 PM",152700
Finland,FIN,"Sun, 01 Jan 1997 11:00:00 PM",149900
Finland,FIN,"Sun, 01 Jan 1998 11:00:00 PM",138800
Finland,FIN,"Sun, 01 Jan 1999 11:00:00 PM",139800
Finland,FIN,"Sun, 01 Jan 2000 11:00:00 PM",136800
Finland,FIN,"Sun, 01 Jan 2001 11:00:00 PM",131400
Finland,FIN,"Sun, 01 Jan 2002 11:00:00 PM",126600
Finland,FIN,"Sun, 01 Jan 2003 11:00:00 PM",124300
Finland,FIN,"Sun, 01 Jan 2004 11:00:00 PM",121800
Finland,FIN,"Sun, 01 Jan 2005 11:00:00 PM",121300
Finland,FIN,"Sun, 01 Jan 2006 11:00:00 PM",121700
Finland,FIN,"Sun, 01 Jan 2007 11:00:00 PM",122000
France,FRA,"Sun, 01 Jan 1856 11:00:00 PM",7305000
France,FRA,"Sun, 01 Jan 1866 11:00:00 PM",7536000
France,FRA,"Sun, 01 Jan 1886 11:00:00 PM",7846000
France,FRA,"Sun, 01 Jan 1896 11:00:00 PM",8501000
France,FRA,"Sun, 01 Jan 1901 11:00:00 PM",8245000
